,age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
0,21,Male,3.23,2.01,0.89,4.55,7.55,248,154,3.95,Medium,Yes,Not addicted,0
1,24,Other,5.09,3.81,2.24,4.44,7.66,127,71,6.71,Medium,Yes,Not addicted,0
2,31,Other,6.06,1.36,3.83,2.35,4.92,44,106,8.68,High,No,Mild,0
3,32,Other,7.83,5.85,1.51,3.54,8.23,178,107,9.77,High,Yes,Moderate,1
4,25,Male,9.96,5.92,3.42,5.27,6.21,136,177,12.55,Low,No,Severe,1
5,26,Male,9.32,4.26,0.29,3.99,6.9,82,56,10.98,Medium,Yes,Severe,1
6,25,Male,10.4,4.93,1.6,0.86,8.61,165,95,11.43,Medium,No,Severe,1
7,26,Male,4.26,4.6,2.16,4.61,6.43,169,117,5.66,Low,No,Moderate,1
8,21,Other,4.38,1.38,2.72,3.78,6.23,172,134,6.2,High,Yes,Not addicted,0
9,35,Other,9.76,4.73,1.36,2.11,5.21,20,82,12.69,Low,Yes,Severe,1
10,34,Female,8.48,1.34,3.05,3.47,8.0,155,15,10.48,Medium,Yes,Moderate,1
11,27,Other,5.16,1.82,2.27,0.93,7.79,228,32,8.1,High,Yes,Not addicted,0
12,33,Other,11.52,1.41,2.11,3.84,8.84,158,66,13.8,Medium,No,Severe,1
13,32,Male,4.09,1.74,1.35,3.74,5.54,76,16,4.77,High,Yes,Not addicted,0
14,19,Male,10.74,0.89,0.95,4.18,5.46,53,161,12.68,Low,No,Severe,1
15,21,Male,3.87,2.87,1.69,3.07,7.78,192,180,4.62,Medium,No,Not addicted,0
16,24,Other,4.71,2.97,1.69,2.03,5.62,39,128,7.23,High,Yes,Not addicted,0
17,35,Female,10.52,5.83,3.71,5.17,5.25,144,138,11.55,Medium,Yes,Moderate,1
18,18,Female,11.87,1.96,3.14,3.0,6.4,207,157,14.02,Medium,Yes,Moderate,1
19,24,Other,11.72,3.69,2.17,4.61,4.76,169,137,13.48,High,Yes,Moderate,1
20,20,Female,10.66,0.88,0.27,5.24,6.32,247,160,11.78,High,Yes,Moderate,1
21,34,Female,5.85,1.93,2.68,2.23,5.7,53,180,7.1,Medium,Yes,Not addicted,0
22,21,Other,3.66,1.67,1.06,5.63,8.46,245,77,5.08,Low,No,Mild,0
23,34,Female,3.07,4.99,1.2,4.15,8.73,54,82,3.86,Low,Yes,Severe,1
24,24,Male,9.46,1.62,2.54,1.95,6.7,236,28,10.19,Medium,No,Moderate,1
25,28,Female,9.94,4.0,1.05,4.58,6.98,129,158,10.46,Low,Yes,Moderate,1
26,35,Female,4.33,1.2,1.23,5.44,8.08,240,25,7.08,Low,Yes,Not addicted,0
27,35,Male,10.96,2.74,2.48,1.35,8.68,241,56,13.9,Low,No,Moderate,1
28,28,Male,10.04,2.76,2.68,4.54,5.62,60,42,11.5,Low,No,Moderate,1
29,32,Other,6.15,5.01,3.49,1.73,7.47,122,99,7.35,Low,No,Severe,1
30,34,Other,6.6,5.9,2.14,5.67,5.02,86,60,8.55,Medium,Yes,Moderate,1
31,31,Other,6.11,4.83,1.75,5.91,5.02,250,162,7.09,Low,No,Moderate,1
32,35,Other,9.18,5.67,2.95,1.58,6.44,190,99,11.24,High,Yes,Severe,1
33,27,Other,9.0,2.29,2.79,3.55,5.36,190,112,11.19,Low,No,Severe,1
34,18,Other,5.73,1.66,3.14,3.84,5.95,133,128,7.92,High,No,Not addicted,0
35,20,Male,5.55,4.15,2.48,1.01,8.78,80,94,6.61,Low,Yes,Moderate,1
36,25,Male,11.86,3.86,3.07,3.0,8.49,167,64,14.16,Medium,No,Severe,1
37,22,Other,8.9,0.53,3.0,4.74,4.98,128,71,9.84,High,No,Moderate,1
38,25,Male,11.26,1.17,0.53,3.06,6.89,163,167,12.55,Medium,No,Severe,1
39,33,Male,7.05,4.63,3.36,2.03,8.0,144,175,8.15,Medium,Yes,Severe,1
40,26,Female,6.02,5.41,0.32,1.33,6.22,59,69,6.68,Medium,No,Severe,1
41,19,Female,4.86,2.81,3.62,3.71,7.63,239,162,6.31,Low,No,Mild,0
42,31,Other,7.84,4.54,3.2,5.44,6.7,89,126,9.55,Medium,No,Severe,1
43,23,Female,10.56,5.56,3.92,3.44,8.58,171,159,12.72,Low,No,Moderate,1
44,23,Female,3.45,2.59,0.85,2.3,7.93,117,86,5.83,Medium,No,Not addicted,0
45,18,Other,9.74,0.79,3.81,1.73,4.81,186,25,12.13,Low,Yes,Moderate,1
46,22,Female,5.15,3.1,0.46,5.71,6.59,85,109,6.07,High,Yes,Not addicted,0
47,21,Other,8.21,5.61,2.3,5.49,6.19,203,65,8.9,High,Yes,Moderate,1
48,27,Male,10.65,3.8,0.48,5.91,8.02,108,151,12.22,Medium,Yes,Severe,1
49,31,Female,10.4,1.08,3.84,4.0,8.23,201,54,11.99,High,No,Severe,1
50,31,Male,10.43,3.76,1.29,1.85,8.71,91,130,11.54,Medium,No,Severe,1
51,33,Male,10.66,1.5,0.85,4.89,6.03,245,167,12.91,Medium,Yes,Moderate,1
52,25,Female,9.48,3.19,3.03,4.3,7.41,145,129,11.96,Low,No,Moderate,1
53,25,Female,5.76,3.7,1.89,3.42,6.41,210,155,7.09,High,No,Mild,0
54,26,Other,5.07,4.47,1.26,4.59,8.78,196,62,6.05,High,No,Severe,1
55,34,Male,8.37,5.89,3.33,2.13,6.12,97,18,10.64,Low,No,Moderate,1
56,35,Male,5.63,5.69,2.55,4.64,4.96,23,161,6.84,Medium,No,Severe,1
57,19,Male,5.27,5.24,0.46,0.86,6.71,167,176,7.49,Low,Yes,Severe,1
58,25,Female,4.07,4.7,2.43,4.85,5.52,153,112,5.7,Medium,No,Severe,1
59,19,Male,8.49,4.57,3.79,1.64,5.45,189,35,9.38,Low,Yes,Moderate,1
60,31,Female,7.05,3.77,1.17,1.77,7.68,199,131,7.73,Low,No,Mild,0
61,21,Male,7.9,4.06,3.63,5.05,4.82,62,93,9.89,High,No,Severe,1
62,32,Male,9.2,4.35,3.77,3.25,6.72,40,168,9.8,Medium,No,Severe,1
63,20,Female,5.06,4.21,3.44,3.73,4.59,215,83,7.0,Low,No,Severe,1
64,23,Female,11.97,2.9,3.26,5.83,6.62,124,100,13.27,Low,Yes,Severe,1
65,33,Female,5.59,5.7,3.25,3.53,6.55,100,79,6.9,Medium,Yes,Severe,1
66,19,Male,4.69,2.49,3.03,3.94,7.92,72,83,6.56,Medium,No,Mild,0
67,18,Other,11.76,3.85,0.96,1.37,6.98,161,119,12.49,Low,No,Moderate,1
68,22,Other,7.49,4.44,2.04,2.0,8.26,140,77,9.13,Low,No,Moderate,1
69,34,Other,9.72,1.25,0.28,4.75,8.34,107,144,10.89,Low,No,Severe,1
70,33,Male,10.79,2.96,1.94,2.33,7.93,116,131,13.62,Low,Yes,Severe,1
71,31,Male,3.39,4.6,2.82,4.96,6.24,189,53,5.13,Low,Yes,Severe,1
72,32,Other,3.9,5.51,0.06,1.29,8.42,59,34,5.57,Medium,No,Severe,1
73,20,Other,10.67,5.19,3.44,2.59,5.92,203,139,13.35,Low,Yes,Moderate,1
74,27,Male,11.98,4.61,1.74,1.04,7.35,243,40,13.59,High,No,Moderate,1
75,28,Female,10.17,2.11,1.5,1.3,6.89,164,61,11.09,Low,No,Moderate,1
76,22,Female,5.09,4.01,1.84,4.17,8.55,139,88,7.28,Low,Yes,Severe,1
77,27,Other,8.75,2.83,1.0,5.15,5.4,118,138,9.52,Medium,No,Severe,1
78,27,Male,3.2,5.07,1.58,0.54,8.39,219,27,5.98,High,No,Severe,1
79,29,Female,4.97,1.55,1.0,4.66,7.95,194,50,7.04,High,Yes,Mild,0
80,19,Male,8.22,4.53,0.36,2.12,7.86,64,66,9.05,High,No,Severe,1
81,26,Other,11.23,5.69,3.87,2.12,8.42,225,44,12.9,Low,Yes,Moderate,1
82,30,Other,11.71,4.93,1.46,4.85,4.56,157,46,13.35,High,No,Severe,1
83,29,Other,3.98,1.79,0.1,5.36,7.03,176,71,6.1,High,No,Mild,0
84,31,Other,4.05,0.75,0.15,5.98,5.02,80,152,4.89,Medium,No,Mild,0
85,22,Male,10.97,4.1,3.33,3.89,8.73,91,23,13.2,Low,No,Severe,1
86,29,Other,3.89,4.27,2.18,5.88,6.11,121,85,4.86,Low,No,Moderate,1
87,24,Male,8.78,3.78,0.09,4.83,5.6,52,159,9.79,High,Yes,Moderate,1
88,28,Male,9.97,4.84,2.38,2.03,8.93,53,153,11.1,Low,Yes,Moderate,1
89,18,Female,6.22,4.84,2.36,0.59,5.69,52,122,8.04,High,Yes,Severe,1
